ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
M01896:197:000000000-ANEHB:1:1105:10392:15073_CONS_SUB_SUB_CMP,False,4,4,0,4,10,0.012,0.003,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1111:8987:15618_CONS_SUB_SUB,False,1,1,0,1,4,1.0,1.0,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2105:20350:7675_CONS_SUB_SUB_CMP,False,5,5,0,5,6,0.378,0.003,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1109:13874:13320_CONS_SUB_SUB,False,1,1,0,1,9,0.378,0.378,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2105:23629:25642_CONS_SUB_SUB,False,5,5,0,5,14,0.862,0.001,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2104:4113:11544_CONS_SUB_SUB,True,3,3,0,3,11,0.951,0.002,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1102:10031:17872_CONS_SUB_SUB_CMP,False,6,6,2,4,13,0.206,0.001,0,0,False,50,True
M01896:197:000000000-ANEHB:1:2107:22365:21034_CONS_SUB_SUB_CMP,False,6,6,2,4,11,0.13,0.072,3,3,True,6,True
M00595:3:000000000-ALULJ:1:1110:7025:6821_CONS_SUB_SUB_CMP,False,6,6,3,3,11,0.198,0.001,0,0,False,50,False
M01896:197:000000000-ANEHB:1:2105:19073:27131_CONS_SUB_SUB,False,4,4,0,4,11,0.125,0.001,0,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:1111:28555:11073_CONS_SUB_SUB_CMP,False,4,4,0,4,9,0.039,0.006,0,0,False,10,False
M00595:3:000000000-ALULJ:1:2107:29266:13709_CONS_SUB_SUB,False,1,1,0,1,9,0.039,0.039,15,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2113:19119:24746_CONS_SUB_SUB_CMP,False,2,2,0,2,13,0.761,0.017,1,0,False,44,True
M00595:3:000000000-ALULJ:1:2106:10695:21083_CONS_SUB_SUB,False,2,2,0,2,13,0.016,0.005,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2109:19257:8514_CONS_SUB_SUB,False,3,3,0,3,10,0.106,0.005,0,0,False,50,False
M01896:197:000000000-ANEHB:1:1103:18542:4719_CONS_SUB_SUB_CMP,False,1,1,0,1,6,0.106,0.106,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2107:25259:12159_CONS_SUB_SUB_CMP,True,3,3,0,3,10,0.987,0.002,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1108:21698:2924_CONS_SUB_SUB,False,5,5,1,4,12,0.376,0.001,0,0,False,40,False
M00595:3:000000000-ALULJ:1:1113:19085:28506_CONS_SUB_SUB,False,2,2,1,1,12,0.004,0.003,2,0,False,10,False
M00595:3:000000000-ALULJ:1:1106:18043:27142_CONS_SUB_SUB,True,2,2,1,1,13,0.95,0.001,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2113:20685:23005_CONS_SUB_SUB,False,1,1,0,1,11,0.95,0.95,0,0,False,6,False
