OTU_SEQID,BLAST_SPECIES,BLAST_NCBI_TAXID,BLAST_IDENTITY,IS_PREDATOR,SAP_SPECIES,SAP_NCBI_TAXID,SpeciesLevel,SpeciesCount,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HomologueCount,DatabaseNotExhausted,IS_MATCH
M00595:3:000000000-ALULJ:1:1101:10952:19608_CONS_SUB_SUB,Caulolatilus intermedius,1311425,97.27,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1101:15657:7334_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,179363,False,1,0.043,0.043,2,0,42,False,NA
M00595:3:000000000-ALULJ:1:1101:6442:18370_CONS_SUB_SUB,Phoridae sp. BOLD:ACA9772,1694441,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1101:8050:11816_CONS_SUB_SUB,Pseudorhombila quadridentata,689448,100,FALSE,Pseudorhombila quadridentata,689448,True,1,1,1,1,0,50,False,TRUE
M00595:3:000000000-ALULJ:1:1102:14557:7495_CONS_SUB_SUB,Fusarium babinda,48486,98.96,FALSE,,5506,False,5,0.278,0.001,16,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:1102:8762:22004_CONS_SUB_SUB_CMP,Candacia curta,748995,97.44,FALSE,Candacia curta,748995,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:1103:15406:5785_CONS_SUB_SUB,NA,NA,NA,NA,,329464,False,2,0.886,0.002,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:1103:18252:2342_CONS_SUB_SUB,Pseudorhombila quadridentata,689448,97.29,FALSE,Macromedaeus crassimanus,903677,True,1,1,1,1,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:1103:18439:11602_CONS_SUB_SUB,NA,NA,NA,NA,,7711,True,1,1,1,1,0,40,False,NA
M00595:3:000000000-ALULJ:1:1103:26447:12764_CONS_SUB_SUB,Caulolatilus intermedius,1311425,99.08,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1103:8208:3713_CONS_SUB_SUB,Decapterus punctatus,173322,100,TRUE,Decapterus punctatus,173322,True,1,0.996,0.996,7,0,37,False,TRUE
M00595:3:000000000-ALULJ:1:1103:9003:26039_CONS_SUB_SUB,Lonchopisthus micrognathus,1311555,99.68,FALSE,Lonchopisthus micrognathus,1311555,True,1,0.999,0.999,1,0,50,False,TRUE
M00595:3:000000000-ALULJ:1:1104:14256:18607_CONS_SUB_SUB,Caulolatilus intermedius,1311425,99.63,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1104:20148:25435_CONS_SUB_SUB,NA,NA,NA,NA,,78434,False,2,0.751,0.141,2,1,7,False,NA
M00595:3:000000000-ALULJ:1:1104:28209:13906_CONS_SUB_SUB,Vinciguerria nimbaria,270541,99.68,FALSE,,258047,False,3,0.267,0.052,2,0,6,False,FALSE
M00595:3:000000000-ALULJ:1:1104:5417:24055_CONS_SUB_SUB,Cynoscion nothus,308847,100,FALSE,,7711,False,4,0.887,0.002,5,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:1105:21940:23562_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,7711,False,3,0.726,0.028,1,0,48,True,NA
M00595:3:000000000-ALULJ:1:1106:12531:6642_CONS_SUB_SUB_CMP,Cetorhinus maximus,57982,97.22,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1106:13930:26286_CONS_SUB_SUB,Illex cf. oxygonius DBC-2006,370613,99.54,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1106:15134:18831_CONS_SUB_SUB,Ctenogobius sp. BOLD:AAF8707,721867,98.72,FALSE,,168166,True,1,1,1,1,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:1106:29254:14571_CONS_SUB_SUB,NA,NA,NA,NA,Polyonyx gibbesi,404952,True,1,1,1,1,0,6,False,NA
M00595:3:000000000-ALULJ:1:1106:29282:13030_CONS_SUB_SUB,Brycinus sp. BOLD:AAL6091,1003156,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1107:14510:28136_CONS_SUB_SUB,Caulolatilus intermedius,1311425,99.63,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1107:22345:27016_CONS_SUB_SUB,Lolliguncula brevis,78435,97.73,FALSE,,78434,False,3,0.635,0.008,2,1,6,False,FALSE
M00595:3:000000000-ALULJ:1:1107:7660:4884_CONS_SUB_SUB,Lutjanus synagris,40496,99.52,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1108:18523:25852_CONS_SUB_SUB,Micropogonias undulatus,29154,99.68,FALSE,,7711,False,3,0.232,0.178,6,3,38,False,FALSE
M00595:3:000000000-ALULJ:1:1108:18525:14951_CONS_SUB_SUB,Leiostomus xanthurus,59837,99.04,FALSE,Leiostomus xanthurus,59837,True,1,1,1,1,0,16,False,TRUE
M00595:3:000000000-ALULJ:1:1108:21005:9057_CONS_SUB_SUB,NA,NA,NA,NA,Lonchopisthus micrognathus,1311555,True,1,1,1,1,0,50,False,NA
