OTU_SEQID,BLAST_SPECIES,BLAST_NCBI_TAXID,BLAST_IDENTITY,IS_PREDATOR,SAP_SPECIES,SAP_NCBI_TAXID,SpeciesLevel,SpeciesCount,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HomologueCount,DatabaseNotExhausted,IS_MATCH
M00595:3:000000000-ALULJ:1:1101:8050:11816_CONS_SUB_SUB,Pseudorhombila quadridentata,689448,100,FALSE,Pseudorhombila quadridentata,689448,True,1,1,1,1,0,50,False,TRUE
M00595:3:000000000-ALULJ:1:1102:8762:22004_CONS_SUB_SUB_CMP,Candacia curta,748995,97.44,FALSE,Candacia curta,748995,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:1103:8208:3713_CONS_SUB_SUB,Decapterus punctatus,173322,100,TRUE,Decapterus punctatus,173322,True,1,1,1,8,1,42,False,TRUE
M00595:3:000000000-ALULJ:1:1103:9003:26039_CONS_SUB_SUB,Lonchopisthus micrognathus,1311555,99.68,FALSE,Lonchopisthus micrognathus,1311555,True,3,0.938,0.003,1,0,50,False,TRUE
M00595:3:000000000-ALULJ:1:1104:5417:24055_CONS_SUB_SUB,Cynoscion nothus,308847,100,FALSE,Cynoscion nothus,308847,True,2,0.789,0.007,5,0,48,False,TRUE
M00595:3:000000000-ALULJ:1:1106:15134:18831_CONS_SUB_SUB,Ctenogobius sp. BOLD:AAF8707,721867,98.72,FALSE,,168166,True,1,0.999,0.999,1,0,50,False,FALSE
M00595:3:000000000-ALULJ:1:1107:22345:27016_CONS_SUB_SUB,Lolliguncula brevis,78435,97.73,FALSE,Lolliguncula brevis,78435,True,3,0.551,0.01,2,1,7,False,TRUE
M00595:3:000000000-ALULJ:1:1108:18523:25852_CONS_SUB_SUB,Micropogonias undulatus,29154,99.68,FALSE,,7711,False,3,0.215,0.189,7,2,43,False,FALSE
M00595:3:000000000-ALULJ:1:1109:24195:19524_CONS_SUB_SUB,Gadus macrocephalus,80720,99.68,FALSE,,8045,False,4,0.142,0.001,9,4,20,False,FALSE
M00595:3:000000000-ALULJ:1:1110:12070:25926_CONS_SUB_SUB,Trichiurus lepturus,13733,100,FALSE,,186623,False,6,0.248,0.002,4,1,7,False,FALSE
M00595:3:000000000-ALULJ:1:1110:25199:14855_CONS_SUB_SUB,Selar crumenophthalmus,146146,100,TRUE,Selar crumenophthalmus,146146,True,1,0.716,0.716,3,0,24,False,TRUE
M00595:3:000000000-ALULJ:1:1110:25642:16455_CONS_SUB_SUB_CMP,Pristipomoides aquilonaris,40511,99.68,TRUE,Pristipomoides aquilonaris,40511,True,1,1,1,1,0,14,False,TRUE
M00595:3:000000000-ALULJ:1:1110:8602:18425_CONS_SUB_SUB,Chloroscombrus chrysurus,173329,99.26,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:1111:9114:20050_CONS_SUB_SUB,Chloroscombrus chrysurus,173329,99.04,FALSE,Chloroscombrus chrysurus,173329,True,1,1,1,1,0,9,False,TRUE
M00595:3:000000000-ALULJ:1:1112:2755:11567_CONS_SUB_SUB,Phrosina semilunata,472191,100,FALSE,Phrosina semilunata,472191,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:1114:21973:10209_CONS_SUB_SUB_CMP,Prionotus sp. BOLD:AAF0351,586853,100,FALSE,,320587,True,3,0.981,0.001,4,3,6,False,FALSE
M00595:3:000000000-ALULJ:1:1114:7220:15827_CONS_SUB_SUB,Gempylus serpens,13543,100,FALSE,Gempylus serpens,13543,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2101:14508:22678_CONS_SUB_SUB,Larimus fasciatus,329433,99.68,TRUE,Larimus fasciatus,329433,True,1,0.976,0.976,2,0,24,False,TRUE
M00595:3:000000000-ALULJ:1:2101:20271:6175_CONS_SUB_SUB,Sagitta enflata,52900,99.26,FALSE,Sagitta enflata,52900,True,1,0.999,0.999,3,3,6,False,TRUE
M00595:3:000000000-ALULJ:1:2102:12119:7780_CONS_SUB_SUB_CMP,Lolliguncula brevis,78435,99.68,FALSE,,78434,False,2,0.481,0.475,2,1,9,False,FALSE
M00595:3:000000000-ALULJ:1:2103:12797:11693_CONS_SUB_SUB,Bos taurus,9913,100,FALSE,,40674,False,8,0.079,0.053,15,3,34,True,FALSE
M00595:3:000000000-ALULJ:1:2103:21513:9835_CONS_SUB_SUB,Undinula vulgaris,184747,99.36,FALSE,Undinula vulgaris,184747,True,2,1,0.902,1,0,50,False,TRUE
M00595:3:000000000-ALULJ:1:2103:21878:24138_CONS_SUB_SUB,Cellana sandwicensis,457027,99.36,FALSE,Cellana grata,157699,True,1,1,1,3,0,18,False,FALSE
M00595:3:000000000-ALULJ:1:2105:13272:7758_CONS_SUB_SUB_CMP,Penicillium decumbens,69771,97.18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2107:10569:15930_CONS_SUB_SUB,Hoplunnis macrura,1459830,100,TRUE,Hoplunnis macrura,1459830,True,2,0.991,0.005,1,0,25,False,TRUE
M00595:3:000000000-ALULJ:1:2108:11364:26907_CONS_SUB_SUB_CMP,Phytophthora cactorum,29920,100,FALSE,,4783,False,3,0.248,0.046,50,0,50,True,FALSE
M00595:3:000000000-ALULJ:1:2109:16838:13534_CONS_SUB_SUB,Illex cf. coindetii DBC-2006,370614,99.68,FALSE,,6615,False,6,0.197,0.051,4,3,6,True,FALSE
M00595:3:000000000-ALULJ:1:2109:24746:14152_CONS_SUB_SUB,Apogon aurolineatus,638130,98.08,FALSE,,7711,False,3,0.819,0.001,2,0,6,True,FALSE
M00595:3:000000000-ALULJ:1:2109:26492:23996_CONS_SUB_SUB,Euconchoecia chierchiae,702399,98.51,FALSE,Euconchoecia chierchiae,702399,True,2,0.925,0.034,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2112:22672:18684_CONS_SUB_SUB,Centropages furcatus,399975,98.71,FALSE,Centropages furcatus,399975,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2112:8515:6905_CONS_SUB_SUB,Lutjanus synagris,40496,99.63,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00595:3:000000000-ALULJ:1:2113:18698:18214_CONS_SUB_SUB,Ancylomenes pedersoni,1551778,98.95,FALSE,Ancylomenes pedersoni,1551778,True,1,1,1,1,0,6,False,TRUE
M00595:3:000000000-ALULJ:1:2113:28235:14185_CONS_SUB_SUB_CMP,Lutjanus synagris,40496,100,TRUE,,30850,False,4,0.225,0.002,21,4,50,False,FALSE
M00595:3:000000000-ALULJ:1:2113:7413:20570_CONS_SUB_SUB,Ctenogobius boleosoma,700790,99.04,FALSE,Ctenogobius boleosoma,700790,True,2,0.92,0.035,1,0,7,False,TRUE
M00595:3:000000000-ALULJ:1:2114:11020:18888_CONS_SUB_SUB,Polyonyx gibbesi,404952,99.68,FALSE,Polyonyx gibbesi,404952,True,1,1,1,1,0,16,False,TRUE
M00595:3:000000000-ALULJ:1:2114:13744:11519_CONS_SUB_SUB,Lutjanus synagris,40496,97.93,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1101:10312:15261_CONS_SUB_SUB,Gymnothorax nigromarginatus,1459829,98.71,FALSE,Gymnothorax nigromarginatus,1459829,True,2,0.966,0.02,2,0,12,False,TRUE
M01896:197:000000000-ANEHB:1:1101:7326:18483_CONS_SUB_SUB_CMP,Serranus notospilus,1311498,98.39,FALSE,Serranus notospilus,1311498,True,3,0.947,0.001,1,0,49,False,TRUE
M01896:197:000000000-ANEHB:1:1102:18472:20678_CONS_SUB_SUB,Meadia abyssalis,398653,97.76,FALSE,,118152,False,2,0.09,0.035,2,1,50,False,FALSE
M01896:197:000000000-ANEHB:1:1102:9928:18956_CONS_SUB_SUB,Sphyraena jello,445362,100,FALSE,,30850,False,1,1,1,2,0,48,False,FALSE
M01896:197:000000000-ANEHB:1:1103:12781:26973_CONS_SUB_SUB,Thliptodon diaphanus,649086,100,FALSE,Thliptodon diaphanus,649086,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1103:6922:25990_CONS_SUB_SUB,Apogon maculatus,308069,99.68,FALSE,,7711,False,5,0.632,0.007,3,0,10,True,FALSE
M01896:197:000000000-ANEHB:1:1104:10845:2807_CONS_SUB_SUB_CMP,Anchoa mitchilli,224718,100,FALSE,,7711,False,5,0.147,0.001,5,3,22,False,FALSE
M01896:197:000000000-ANEHB:1:1106:11753:20154_CONS_SUB_SUB_CMP,Trichoderma reesei,51453,97.76,FALSE,Trichoderma reesei,51453,True,1,1,1,7,2,50,False,TRUE
M01896:197:000000000-ANEHB:1:1106:25470:8391_CONS_SUB_SUB,Cheilopogon furcatus,938382,98.08,FALSE,,76072,False,3,0.205,0.022,17,9,50,False,FALSE
M01896:197:000000000-ANEHB:1:1107:7857:19678_CONS_SUB_SUB,Exocoetidae sp. BOLD:AAG2008,1182821,99.67,FALSE,,76072,False,2,0.996,0.001,13,5,50,False,FALSE
M01896:197:000000000-ANEHB:1:1108:15598:7697_CONS_SUB_SUB,Prognathodes sp. BOLD:AAG2009,1182839,99.68,FALSE,,186623,False,2,0.331,0.33,17,9,49,False,FALSE
M01896:197:000000000-ANEHB:1:1108:21083:22439_CONS_SUB_SUB,Synagrops bellus,107766,99.04,FALSE,,107765,False,3,0.43,0.017,2,0,33,False,FALSE
M01896:197:000000000-ANEHB:1:1109:10301:15571_CONS_SUB_SUB_CMP,Xyrichtys novacula,13765,100,FALSE,Xyrichtys novacula,13765,True,2,0.69,0.158,4,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:1109:11706:16960_CONS_SUB_SUB,Hemanthias leptus,274791,100,FALSE,Hemanthias leptus,274791,True,2,0.925,0.038,2,0,9,False,TRUE
M01896:197:000000000-ANEHB:1:1109:14293:20369_CONS_SUB_SUB,Centropristis philadelphica,451889,100,FALSE,Centropristis philadelphica,451889,True,2,0.998,0.001,1,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:1109:17569:17327_CONS_SUB_SUB_CMP,Ocypode quadrata,53310,100,FALSE,Ocypode quadrata,53310,True,2,0.998,0.002,1,0,17,False,TRUE
M01896:197:000000000-ANEHB:1:1109:18349:26666_CONS_SUB_SUB_CMP,Lutjanus purpureus,454142,100,FALSE,,40493,False,4,0.299,0.001,16,2,50,False,FALSE
M01896:197:000000000-ANEHB:1:1109:19588:23994_CONS_SUB_SUB_CMP,Coryphaena hippurus,34814,100,TRUE,,7711,False,2,0.589,0.062,3,2,6,False,FALSE
M01896:197:000000000-ANEHB:1:1110:10766:3025_CONS_SUB_SUB_CMP,Archosargus probatocephalus,119682,100,TRUE,Archosargus probatocephalus,119682,True,2,0.946,0.03,1,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:1110:12705:12304_CONS_SUB_SUB_CMP,Mycteroperca xenarcha,320403,100,FALSE,Mycteroperca xenarcha,320403,True,2,0.997,0.001,7,1,34,False,TRUE
M01896:197:000000000-ANEHB:1:1110:13656:10248_CONS_SUB_SUB,Hirundichthys affinis,76074,99.68,FALSE,,7711,False,3,0.244,0.123,16,6,46,True,FALSE
M01896:197:000000000-ANEHB:1:1110:17262:22043_CONS_SUB_SUB,Alpheus floridanus,87360,100,FALSE,Alpheus floridanus,87360,True,1,0.999,0.999,1,0,11,False,TRUE
M01896:197:000000000-ANEHB:1:1110:18479:9229_CONS_SUB_SUB_CMP,Notiospathius sp. DORYC155-11,1239614,99.36,FALSE,,322276,False,6,0.056,0.004,5,1,43,False,FALSE
M01896:197:000000000-ANEHB:1:1110:22048:15817_CONS_SUB_SUB_CMP,Panulirus argus,6737,99.68,FALSE,Panulirus argus,6737,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1110:22181:20375_CONS_SUB_SUB_CMP,Porichthys plectrodon,472765,100,FALSE,Porichthys plectrodon,472765,True,2,0.944,0.029,2,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1110:24365:13301_CONS_SUB_SUB,Cheilopogon furcatus,938382,98.4,FALSE,,76072,False,5,0.171,0.001,17,9,50,False,FALSE
M01896:197:000000000-ANEHB:1:1111:18046:28578_CONS_SUB_SUB_CMP,Penicillium verrucosum,60171,99.29,FALSE,,5073,False,2,0.423,0.078,24,8,50,False,FALSE
M01896:197:000000000-ANEHB:1:1111:6678:18637_CONS_SUB_SUB,Peprilus triacanthus,183653,100,FALSE,,7711,False,2,0.275,0.243,4,3,42,False,FALSE
M01896:197:000000000-ANEHB:1:1111:8603:15665_CONS_SUB_SUB,Thunnus tonggol,48169,100,FALSE,Thunnus albacares,8236,True,7,0.964,0.001,13,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:1111:9502:26986_CONS_SUB_SUB_CMP,Acanthocybium solandri,13323,100,TRUE,Acanthocybium solandri,13323,True,3,0.8,0.005,2,0,41,False,TRUE
M01896:197:000000000-ANEHB:1:1112:14445:2626_CONS_SUB_SUB,Caranx crysos,173309,100,FALSE,,8157,False,2,0.47,0.087,2,1,31,True,FALSE
M01896:197:000000000-ANEHB:1:1112:15590:3560_CONS_SUB_SUB,Decapterus sp. BOLD:AAI3669,1716535,100,FALSE,,8157,False,5,0.146,0.001,8,0,27,False,FALSE
M01896:197:000000000-ANEHB:1:1112:15808:7827_CONS_SUB_SUB,Prionotus alatus,1459834,99.11,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:1112:16339:26363_CONS_SUB_SUB_CMP,Actinopterygii environmental sample,1184603,99.35,FALSE,,186623,False,2,0.228,0.132,8,6,23,False,FALSE
M01896:197:000000000-ANEHB:1:1112:19390:2481_CONS_SUB_SUB,Myctophum obtusirostre,1519986,97.44,FALSE,,68516,False,2,0.226,0.032,2,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:1112:2096:13004_CONS_SUB_SUB,Trachinocephalus myops,172131,100,TRUE,Trachinocephalus myops,172131,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:1113:11889:22092_CONS_SUB_SUB_CMP,Trachypenaeopsis mobilispinis,406079,100,FALSE,Trachypenaeopsis mobilispinis,406079,True,1,1,1,1,0,29,False,TRUE
M01896:197:000000000-ANEHB:1:1113:12302:18214_CONS_SUB_SUB,Ophichthus gomesii,260503,100,FALSE,Ophichthus gomesii,260503,True,1,0.995,0.995,3,1,45,False,TRUE
M01896:197:000000000-ANEHB:1:1114:11991:2882_CONS_SUB_SUB_CMP,Engraulidae sp. BOLD:AAG4822,722528,99.68,FALSE,,7711,False,4,0.296,0.001,9,5,50,False,FALSE
M01896:197:000000000-ANEHB:1:1114:12029:10746_CONS_SUB_SUB,Engraulis encrasicolus,184585,100,FALSE,,7711,False,6,0.212,0.001,12,7,42,False,FALSE
M01896:197:000000000-ANEHB:1:1114:15078:23482_CONS_SUB_SUB_CMP,Megabalanus coccopoma,864464,99.36,FALSE,,37806,False,3,0.014,0.001,5,1,38,False,FALSE
M01896:197:000000000-ANEHB:1:2101:11816:23483_CONS_SUB_SUB,Stenotomus caprinus,723543,100,FALSE,,7711,False,5,0.197,0.002,3,0,50,True,FALSE
M01896:197:000000000-ANEHB:1:2101:14245:13303_CONS_SUB_SUB,Lutjanus griseus,40503,100,TRUE,,30850,False,2,0.355,0.314,8,0,50,False,FALSE
M01896:197:000000000-ANEHB:1:2101:20228:15594_CONS_SUB_SUB,Diacavolinia longirostris,1286080,100,FALSE,Diacavolinia longirostris,1286080,True,3,0.762,0.028,3,1,6,False,TRUE
M01896:197:000000000-ANEHB:1:2102:13268:16485_CONS_SUB_SUB,Hematodinium sp.,173654,97.47,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2102:17763:6878_CONS_SUB_SUB_CMP,Illex illecebrosus,6629,99.68,FALSE,Illex illecebrosus,6629,True,4,0.702,0.014,4,0,37,False,TRUE
M01896:197:000000000-ANEHB:1:2102:3315:14298_CONS_SUB_SUB,Stegastes partitus,144197,100,FALSE,,186623,False,2,0.201,0.183,3,1,8,False,FALSE
M01896:197:000000000-ANEHB:1:2102:6636:9015_CONS_SUB_SUB,Gobionellus oceanicus,721864,98.71,FALSE,Gobionellus oceanicus,721864,True,1,1,1,2,0,11,False,TRUE
M01896:197:000000000-ANEHB:1:2103:16311:8745_CONS_SUB_SUB_CMP,Farfantepenaeus aztecus,6690,100,FALSE,Farfantepenaeus aztecus,6690,True,1,0.998,0.998,2,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:2103:18115:28120_CONS_SUB_SUB,Pogonias cromis,329431,99.04,TRUE,Pogonias cromis,329431,True,2,0.98,0.01,1,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:2103:18712:14701_CONS_SUB_SUB,Euthynnus alletteratus,8228,97.22,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2103:23011:26983_CONS_SUB_SUB,Lichia amia,425389,99.36,FALSE,,8160,False,5,0.201,0.001,6,1,11,True,FALSE
M01896:197:000000000-ANEHB:1:2104:10232:5638_CONS_SUB_SUB,Etrumeus teres,224716,100,FALSE,Etrumeus teres,224716,True,1,0.987,0.987,2,0,50,False,TRUE
M01896:197:000000000-ANEHB:1:2104:18715:14092_CONS_SUB_SUB,Citharichthys cornutus,1282419,97.03,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2104:8896:12302_CONS_SUB_SUB,Euthynnus alletteratus,8228,100,FALSE,Euthynnus alletteratus,8228,True,1,1,1,3,1,50,False,TRUE
M01896:197:000000000-ANEHB:1:2105:10594:4653_CONS_SUB_SUB_CMP,NA,NA,NA,NA,,6683,False,2,0.964,0.006,1,0,9,True,NA
M01896:197:000000000-ANEHB:1:2105:19680:28522_CONS_SUB_SUB,Mullus auratus,1286129,100,TRUE,Mullus auratus,1286129,True,2,0.876,0.05,2,0,34,False,TRUE
M01896:197:000000000-ANEHB:1:2105:23404:6025_CONS_SUB_SUB,Neoconger mucronatus,722442,100,FALSE,Neoconger mucronatus,722442,True,1,1,1,1,0,6,False,TRUE
M01896:197:000000000-ANEHB:1:2107:15779:23509_CONS_SUB_SUB,Uroconger syringinus,391211,100,FALSE,Uroconger syringinus,391211,True,1,0.757,0.757,5,1,31,False,TRUE
M01896:197:000000000-ANEHB:1:2107:22365:21034_CONS_SUB_SUB_CMP,Illex cf. coindetii DBC-2006,370614,99.68,FALSE,,551290,False,6,0.165,0.051,3,3,6,True,FALSE
M01896:197:000000000-ANEHB:1:2107:7229:15431_CONS_SUB_SUB,Katsuwonus pelamis,8226,99.68,FALSE,,186623,False,4,0.314,0.117,6,3,50,True,FALSE
M01896:197:000000000-ANEHB:1:2108:10301:23371_CONS_SUB_SUB,Emiliania huxleyi,2903,99.68,FALSE,Emiliania huxleyi,2903,True,1,1,1,3,1,6,False,TRUE
M01896:197:000000000-ANEHB:1:2108:12027:2307_CONS_SUB_SUB,Elagatis bipinnulata,173324,100,TRUE,,173323,False,2,0.457,0.256,2,0,10,False,FALSE
M01896:197:000000000-ANEHB:1:2108:14459:12858_CONS_SUB_SUB,Anser canagica,107021,99.36,FALSE,,8782,False,7,0.322,0.009,6,5,34,True,FALSE
M01896:197:000000000-ANEHB:1:2110:10762:2432_CONS_SUB_SUB,Sus scrofa,9823,100,FALSE,,7711,False,1,0.315,0.315,6,1,11,False,FALSE
M01896:197:000000000-ANEHB:1:2111:19713:21246_CONS_SUB_SUB,Rhizoprionodon terraenovae,303945,100,TRUE,Rhizoprionodon terraenovae,303945,True,2,0.941,0.029,31,8,50,False,TRUE
M01896:197:000000000-ANEHB:1:2112:17083:12483_CONS_SUB_SUB,Rhomboplites aurorubens,40507,100,TRUE,Rhomboplites aurorubens,40507,True,4,0.762,0.006,6,1,43,False,TRUE
M01896:197:000000000-ANEHB:1:2113:12731:11690_CONS_SUB_SUB,Thunnus obesus,8241,97.36,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01896:197:000000000-ANEHB:1:2113:25739:6560_CONS_SUB_SUB,Squatina dumeril,303946,99.68,FALSE,Squatina dumeril,303946,True,1,1,1,8,0,18,False,TRUE
M01896:197:000000000-ANEHB:1:2114:1805:15069_CONS_SUB_SUB_CMP,Balanus trigonus,756461,100,FALSE,Balanus trigonus,756461,True,1,1,1,1,0,35,False,TRUE
M01896:197:000000000-ANEHB:1:2114:3226:10707_CONS_SUB_SUB_CMP,Rhizoprionodon terraenovae,303945,100,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1101:16241:21890_CONS_SUB_SUB_CMP,Paracalanus quasimodo,1267145,99.68,FALSE,,163471,False,3,0.375,0.014,2,0,32,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1101:25790:15966_CONS_SUB_SUB_CMP,Seriola zonata,173334,100,FALSE,Seriola zonata,173334,True,1,1,1,4,0,15,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1102:22262:20767_CONS_SUB_SUB,Syacium papillosum,195649,100,FALSE,Syacium papillosum,195649,True,1,1,1,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1102:22348:10046_CONS_SUB_SUB,Cynoscion arenarius,80640,99.68,FALSE,,13028,False,2,0.322,0.311,5,0,37,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1103:16888:28308_CONS_SUB_SUB,Prionotus stearnsi,1459835,100,FALSE,Prionotus stearnsi,1459835,True,1,0.994,0.994,1,0,6,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1103:17094:27757_CONS_SUB_SUB,Squilla empusa,84350,99.36,FALSE,Squilla empusa,84350,True,1,1,1,1,0,39,False,TRUE
MISEQ01:3:000000000-ALULJ:1:1103:27420:10969_CONS_SUB_SUB,Mugil curema,48194,98.95,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MISEQ01:3:000000000-ALULJ:1:1103:3723:9029_CONS_SUB_SUB_CMP,Sardinella aurita,196071,99.04,TRUE,,34772,False,1,0.999,0.999,7,0,33,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1105:12015:25110_CONS_SUB_SUB_CMP,Cyclopsetta chittendeni,329465,100,TRUE,,329464,False,4,0.403,0.005,3,0,6,False,FALSE
MISEQ01:3:000000000-ALULJ:1:1106:10023:8896_CONS_SUB_SUB,Undinula vulgaris,184747,97.76,FALSE,Undinula vulgaris,184747,True,3,1,0.015,1,0,46,False,TRUE
